label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,0.0,-0.2023816555738449,-0.1619851440191269,-0.068510040640831,-0.2897230982780456,-0.4822075068950653,-0.0771558284759521,-0.284635066986084,-0.7588339447975159,-0.0880909189581871,-0.2884392142295837,-0.9574982523918152,-0.079863391816616,-0.1437764763832092,-0.6656025648117065,0.0328955017030239,-0.1347264051437378,-0.8168424367904663,-0.0523994527757167,-0.1487107425928115,-0.5871660709381104,-0.0837146192789077,-0.1444517076015472,-0.4890595376491546,-0.0887808203697204,-0.0141339730471372,-0.6489840745925903,0.0313878953456878,-0.0112528633326292,-0.7663078904151917,-0.0561882443726062,-0.0533364973962307,-0.5152338147163391,-0.0616186410188674,-0.0469480380415916,-0.4743466377258301,-0.041064228862524,0.106934443116188,-0.6023487448692322,0.0057673738338053,0.1197737753391265,-0.7101923823356628,-0.0981552377343177,0.0591065697371959,-0.4792333841323852,-0.0614412017166614,0.0537085197865963,-0.4280932545661926,-0.0080987391993403,0.2208548486232757,-0.536822497844696,-0.0264839902520179,0.2430728822946548,-0.6526185274124146,-0.0821674466133117,0.1827504187822342,-0.4920735359191894,-0.0454449132084846,0.1677977889776229,-0.4271646440029144,-0.0009478360880166
A,0.0,0.0,0.0,-0.2047176510095596,-0.1867581307888031,-0.0662307292222976,-0.2862327694892883,-0.491462230682373,-0.0720745474100112,-0.2757385075092315,-0.766634464263916,-0.0803842842578888,-0.2758342027664184,-0.9612051844596864,-0.0687963813543319,-0.134455069899559,-0.6695947051048279,0.04268179833889,-0.1212361976504325,-0.8083494305610657,-0.0294523388147354,-0.1321087777614593,-0.5889132022857666,-0.0565198026597499,-0.1304197013378143,-0.5023641586303711,-0.0624614469707012,-0.0016962588997557,-0.6579219102859497,0.0440871827304363,0.0049821832217276,-0.7561537623405457,-0.0366115011274814,-0.0377060770988464,-0.5197952389717102,-0.0480853021144866,-0.0418580994009971,-0.4862009286880493,-0.0347379073500633,0.1166608780622482,-0.6076168417930603,0.0231309402734041,0.1360492557287216,-0.701438307762146,-0.0718896761536598,0.07280994951725,-0.4899818301200866,-0.0442061312496662,0.0540835298597812,-0.4464167952537536,0.0001970834709936,0.2293985337018966,-0.5350915789604187,-0.0042082704603672,0.2650824189186096,-0.6522223353385925,-0.0542327836155891,0.208266869187355,-0.5228895545005798,-0.0249891765415668,0.1855182349681854,-0.4757103621959686,0.0125351194292306
A,0.0,0.0,0.0,-0.2078306823968887,-0.1758453398942947,-0.0638725757598877,-0.2963376939296722,-0.4859805405139923,-0.0692981332540512,-0.2902247607707977,-0.7604719996452332,-0.0788812637329101,-0.2870901525020599,-0.9579035639762878,-0.06990846991539,-0.1376353353261947,-0.6783034205436707,0.0528006330132484,-0.142639622092247,-0.8109434843063354,-0.0256409887224435,-0.1535769701004028,-0.5857524871826172,-0.0587430447340011,-0.1358635574579239,-0.5016713738441467,-0.0676948651671409,-0.0068938368931412,-0.6612910032272339,0.0506093576550483,-0.010079275816679,-0.7630341053009033,-0.0324376188218593,-0.0515843331813812,-0.5187231302261353,-0.04102099314332,-0.0382156521081924,-0.4846647977828979,-0.0234485771507024,0.113893061876297,-0.6108314394950867,0.0240770503878593,0.1258179545402526,-0.6940132975578308,-0.0729402676224708,0.0640729814767837,-0.4734954535961151,-0.0404058061540126,0.0632594674825668,-0.4364424347877502,0.0087482668459415,0.2315685749053955,-0.5421617031097412,-0.0093380371108651,0.2545381188392639,-0.6443017721176147,-0.0558082424104213,0.190599650144577,-0.4938539862632751,-0.0198534484952688,0.1774750798940658,-0.4413871169090271,0.0222509540617465
A,0.0,0.0,0.0,-0.2075762897729873,-0.1638377755880355,-0.0642319247126579,-0.2968343496322632,-0.483128547668457,-0.0707812458276748,-0.2949373722076416,-0.7574917078018188,-0.0797478631138801,-0.2942785322666168,-0.9557197093963624,-0.0684526488184928,-0.1602239608764648,-0.6810581684112549,0.0425528846681118,-0.1518328338861465,-0.8097886443138123,-0.0342467688024044,-0.164054736495018,-0.5785879492759705,-0.0621377788484096,-0.1579615771770477,-0.4924670457839966,-0.0679845362901687,-0.0300842188298702,-0.6717517971992493,0.0402192994952201,-0.0292634274810552,-0.7556483149528503,-0.0388059206306934,-0.0696913748979568,-0.510523796081543,-0.0418416894972324,-0.0615987889468669,-0.4794022738933563,-0.0216595269739627,0.0907160118222236,-0.6256110072135925,0.0140718789771199,0.0996723249554634,-0.699661374092102,-0.0780828297138214,0.0417899973690509,-0.4787826836109161,-0.0418706871569156,0.0374492555856704,-0.4398625791072845,0.0077004991471767,0.2052676826715469,-0.5627252459526062,-0.0193515010178089,0.2199815958738327,-0.6426427364349365,-0.0651310533285141,0.159828707575798,-0.4935869872570038,-0.0304970368742942,0.1446150243282318,-0.444704532623291,0.010137896053493
A,0.0,0.0,0.0,-0.2000990211963653,-0.1601140350103378,-0.0656564831733703,-0.292734682559967,-0.4797641932964325,-0.0718191936612129,-0.2880151271820068,-0.7609558701515198,-0.0817029103636741,-0.2828191816806793,-0.9591732025146484,-0.0736515745520591,-0.1477111279964447,-0.666068434715271,0.0466948561370372,-0.133312314748764,-0.8166101574897766,-0.0366442017257213,-0.1519051790237426,-0.5867470502853394,-0.0712416619062423,-0.1432485282421112,-0.5003067255020142,-0.0801228210330009,-0.0169778168201446,-0.6477574110031128,0.0441656149923801,-0.0087043093517422,-0.7650038599967957,-0.0418408997356891,-0.056819625198841,-0.514254629611969,-0.0495029650628566,-0.0479143150150775,-0.4779191315174103,-0.0302371643483638,0.1038878783583641,-0.6016572713851929,0.0168708674609661,0.1214659959077835,-0.7048689723014832,-0.082536295056343,0.0568865537643432,-0.4732609093189239,-0.0461908392608165,0.0525298416614532,-0.428005188703537,0.0063918055966496,0.2211948484182357,-0.5387411117553711,-0.0173394531011581,0.2417612224817276,-0.6573131680488586,-0.0651428923010826,0.1825289875268936,-0.4923303723335266,-0.0252199303358793,0.171299546957016,-0.4290951490402221,0.0202313102781772
A,0.0,0.0,0.0,-0.2030045539140701,-0.1605109572410583,-0.0572536028921604,-0.2959924042224884,-0.4799331426620483,-0.0611547641456127,-0.2920216917991638,-0.7593761086463928,-0.0705965384840965,-0.2885513007640838,-0.9574644565582277,-0.0636936947703361,-0.1504776030778885,-0.664103627204895,0.0500459969043731,-0.1382267922163009,-0.8134955167770386,-0.0320794582366943,-0.1579959839582443,-0.5890899300575256,-0.0673295855522155,-0.1495965421199798,-0.5001307725906372,-0.076519675552845,-0.0195605922490358,-0.6453269720077515,0.043508380651474,-0.0110105369240045,-0.76302570104599,-0.0399741157889366,-0.0593799166381359,-0.5192500948905945,-0.0482287518680095,-0.0526694729924202,-0.477605253458023,-0.0303316432982683,0.1024539843201637,-0.5987520217895508,0.0135152069851756,0.1196471154689788,-0.7027729749679565,-0.082886978983879,0.056349940598011,-0.4740432798862457,-0.0463600382208824,0.0507424362003803,-0.4239716529846191,0.0052387099713087,0.2224644720554351,-0.535372793674469,-0.0225878655910491,0.2429220825433731,-0.6585253477096558,-0.0674432963132858,0.1839193999767303,-0.4931949377059936,-0.0253405887633562,0.1704539805650711,-0.4267231822013855,0.0207940991967916
A,0.0,0.0,0.0,-0.2211275100708007,-0.1651699542999267,-0.0596780478954315,-0.3247548937797546,-0.4723235964775085,-0.0632210075855255,-0.3241296708583832,-0.7483132481575012,-0.0715919733047485,-0.3248839974403381,-0.9457539319992064,-0.0622420534491539,-0.1833497434854507,-0.6658391952514648,0.0611434690654277,-0.1653019338846206,-0.8123834133148193,-0.0238350126892328,-0.1820201575756073,-0.5983378887176514,-0.0663066953420639,-0.1836180388927459,-0.5003933310508728,-0.0790357515215873,-0.0527774170041084,-0.6523922085762024,0.0580746494233608,-0.0363712981343269,-0.7679846286773682,-0.029670026153326,-0.0771372020244598,-0.5269988775253296,-0.0480350703001022,-0.084977388381958,-0.4744735062122345,-0.0355693101882934,0.0690620243549346,-0.6154964566230774,0.0310679227113723,0.0897969603538513,-0.7080362439155579,-0.0671954303979873,0.0323325805366039,-0.4844855964183807,-0.0388366729021072,0.0139691922813653,-0.4240715503692627,0.0091267907992005,0.1882690191268921,-0.5606489181518555,-0.0020471301395446,0.2085045576095581,-0.6743362545967102,-0.0470637381076812,0.1539839059114456,-0.5127992033958435,-0.008282677270472,0.1333741843700409,-0.4436058104038238,0.0368950143456459
A,0.0,0.0,0.0,-0.2217898368835449,-0.1578380316495895,-0.0526687279343605,-0.3257658183574676,-0.4724198579788208,-0.0546228624880313,-0.3281196355819702,-0.7489864230155945,-0.0630347952246666,-0.3283581137657165,-0.9445533156394958,-0.0546531528234481,-0.1880549788475036,-0.6664077043533325,0.0611188262701034,-0.174403116106987,-0.8148757815361023,-0.0212964378297328,-0.1869471073150634,-0.5922293663024902,-0.0615226626396179,-0.1843244433403015,-0.4926665127277374,-0.0735184177756309,-0.0566963292658329,-0.6534686088562012,0.0530422255396842,-0.0439919792115688,-0.7698811292648315,-0.0305324792861938,-0.0846958607435226,-0.5216501355171204,-0.0443656407296657,-0.0896607637405395,-0.471835047006607,-0.0302503556013107,0.0661136135458946,-0.6123448014259338,0.0217598155140876,0.0878182202577591,-0.7060053944587708,-0.0711730346083641,0.0281706470996141,-0.4780136346817016,-0.038414541631937,0.0099225603044033,-0.4235979318618774,0.009683908894658,0.1847617179155349,-0.5528424978256226,-0.0155011201277375,0.2097478061914444,-0.6632769107818604,-0.055855207145214,0.1518871933221817,-0.496855229139328,-0.0132392486557364,0.1281507462263107,-0.4294613897800445,0.032477993518114
A,0.0,0.0,0.0,-0.2086874097585678,-0.1306383162736892,-0.060180015861988,-0.3189769983291626,-0.4516605138778686,-0.0654957592487335,-0.3270560801029205,-0.7415680885314941,-0.0758547261357307,-0.3232068419456482,-0.946328341960907,-0.0700342878699302,-0.1815877705812454,-0.650895893573761,0.0441105626523494,-0.1645449101924896,-0.8217673897743225,-0.0424670912325382,-0.1765910238027572,-0.6028052568435669,-0.0807043984532356,-0.1775341182947158,-0.4925421774387359,-0.0905370414257049,-0.0484515093266963,-0.6378147602081299,0.0390894785523414,-0.0345779880881309,-0.7712804675102234,-0.0474885329604148,-0.0746156871318817,-0.5201417207717896,-0.0588348768651485,-0.0842162817716598,-0.4559843838214874,-0.0425536483526229,0.0765010342001915,-0.6002582907676697,0.0106244841590523,0.1002097055315971,-0.7091435194015503,-0.0886385813355445,0.0422919653356075,-0.4710330069065094,-0.0566215999424457,0.01876668818295,-0.4042633175849914,-0.0076901335269212,0.1995739638805389,-0.5442352294921875,-0.0237072817981243,0.2209755033254623,-0.6515322923660278,-0.0725879892706871,0.1643294543027877,-0.4769057929515838,-0.0353463441133499,0.1357029974460601,-0.4069130420684814,0.0072936280630528
A,0.0,0.0,0.0,-0.212638646364212,-0.1508538872003555,-0.0557679533958435,-0.314281553030014,-0.4689696431159973,-0.0576541684567928,-0.3154220879077911,-0.75154709815979,-0.0650090426206588,-0.3114503026008606,-0.9502623677253724,-0.055342711508274,-0.1664275825023651,-0.6685623526573181,0.0516421645879745,-0.1586991995573043,-0.8243585824966431,-0.0299177505075931,-0.1742949783802032,-0.6013776063919067,-0.066582977771759,-0.1662931889295578,-0.494209349155426,-0.0764279812574386,-0.0379747860133647,-0.6523417234420776,0.0461571887135505,-0.027445875108242,-0.7730493545532227,-0.0381094478070735,-0.0740388706326484,-0.5207119584083557,-0.0490372441709041,-0.0740758925676345,-0.4616738855838775,-0.0329459831118583,0.082574225962162,-0.6043424010276794,0.0178753044456243,0.1063614934682846,-0.7040695548057556,-0.0797248035669326,0.0383777432143688,-0.47171550989151,-0.0473526492714881,0.0220812056213617,-0.406552255153656,0.0022588467691093,0.2039133757352829,-0.5373265147209167,-0.0160355605185031,0.230030283331871,-0.6532564163208008,-0.0636715516448021,0.1664700657129287,-0.4912043809890747,-0.0258215796202421,0.1407910287380218,-0.4224218726158142,0.0180298555642366
